ID_DECLARATION;TYPE_DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE_DECLARATION;MOIS_DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d
947;Eau;Autres problèmes d'eau:[] Bouche de lavage, d'arrosage ou de remplissage avec écoulement d'eau permanent, impossible à fermer;45 Rue Buffon, 75005 PARIS;75005;Paris 5;5;JARDIN DES PLANTES;2021-01-02;2021;1;Androï;eaux_de_paris;G2021A000947;"{""coordinates"": [2.358788702977113, 48.84182999671573], ""type"": ""Point""}";48.84182999671573,2.358788702977113
953;Objets abandonnés;Autres objets encombrants abandonnés;10 Rue Basfroi, 75011 PARIS;75011;Paris 11;11;BASTILLE - POPINCOURT;2021-01-02;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A000953;"{""coordinates"": [2.3801204969565832, 48.85412200285438], ""type"": ""Point""}";48.85412200285438,2.3801204969565832
962;Objets abandonnés;Autres objets encombrants abandonnés;33 Rue de Javel, 75015 PARIS;75015;Paris 15;15;EMERIAU - ZOLA;2021-01-02;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A000962;"{""coordinates"": [2.28151899720288, 48.84610699931906], ""type"": ""Point""}";48.84610699931906,2.28151899720288
980;Mobiliers urbains;Protection:Potelet, barrière ou garde-corps détérioré;15 Rue Emeriau, 75015 PARIS;75015;Paris 15;15;DUPLEIX - LA MOTTE PICQUET;2021-01-02;2021;1;Androï;SMEP;G2021A000980;"{""coordinates"": [2.287048006275262, 48.85062400048764], ""type"": ""Point""}";48.85062400048764,2.287048006275262
12382;Graffitis, tags, affiches et autocollants;Graffitis sur mur, façade sur rue, pont;2 Rue Léon Cladel, 75002 PARIS;75001;Paris 1;2;SENTIER - BONNE NOUVELLE;2021-01-09;2021;1;Androï;graffitis;G2021A012382;"{""coordinates"": [2.3431189976969042, 48.86873999787705], ""type"": ""Point""}";48.86873999787705,2.3431189976969042
12395;Autos, motos, vélos...;Automobile ou autre véhicule motorisé en stationnement gênant;36 Rue des Plantes, 75014 PARIS;75014;Paris 14;14;PERNETY;2021-01-09;2021;1;Androï;DPMP-SCOP;G2021A012395;"{""coordinates"": [2.322713400208723, 48.829620000268996], ""type"": ""Point""}";48.829620000268996,2.322713400208723
12403;Objets abandonnés;Autres objets encombrants abandonnés;26 Rue du Hameau, 75015 PARIS;75015;Paris 15;15;VAUGIRARD - PARC DES EXPOSITIONS;2021-01-09;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A012403;"{""coordinates"": [2.287882298582749, 48.83454499919963], ""type"": ""Point""}";48.83454499919963,2.287882298582749
12406;Objets abandonnés;Autres objets encombrants abandonnés;208 Rue du Faubourg Saint-Denis, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2021-01-09;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A012406;"{""coordinates"": [2.35887860063876, 48.88230000064601], ""type"": ""Point""}";48.88230000064601,2.35887860063876
12407;Objets abandonnés;Autres objets encombrants abandonnés;3 Rue Auguste Chabrières, 75015 PARIS;75015;Paris 15;15;VAUGIRARD - PARC DES EXPOSITIONS;2021-01-09;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A012407;"{""coordinates"": [2.288852497834375, 48.83569299545269], ""type"": ""Point""}";48.83569299545269,2.288852497834375
13263;Autos, motos, vélos...;Deux-roues motorisé en stationnement gênant;26 Avenue de Wagram, 75008 PARIS;75008;Paris 8;8;HOCHE - FRIEDLAND;2021-01-09;2021;1;Androï;DPMP-SCOP;G2021A013263;"{""coordinates"": [2.297368503736089, 48.87646999933147], ""type"": ""Point""}";48.87646999933147,2.297368503736089
10780;Objets abandonnés;Autres objets encombrants abandonnés;24 Passage de la Folie-Regnault, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2021-01-08;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A010780;"{""coordinates"": [2.388355500062575, 48.860960000562564], ""type"": ""Point""}";48.860960000562564,2.388355500062575
11619;Propreté;Propreté des équipements de collecte des déchets:Corbeille de rue sale ou débordante;4 Rue Trolley de Prévaux, 75013 PARIS;75013;Paris 13;13;MASSENA - JEANNE D'ARC;2021-01-08;2021;1;Androï;DPE-STPP-DT;G2021A011619;"{""coordinates"": [2.372934798421853, 48.82616000157702], ""type"": ""Point""}";48.82616000157702,2.372934798421853
8311;Objets abandonnés;Autres objets encombrants abandonnés;22 Rue André Gide, 75015 PARIS;75015;Paris 15;15;PASTEUR - MONTPARNASSE;2021-01-06;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A008311;"{""coordinates"": [2.31293730343706, 48.83720400343256], ""type"": ""Point""}";48.83720400343256,2.31293730343706
8322;Objets abandonnés;Gravats ou déchets de chantier;23 Rue Montgallet, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2021-01-06;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A008322;"{""coordinates"": [2.388031505712237, 48.84369999835284], ""type"": ""Point""}";48.84369999835284,2.388031505712237
8331;Graffitis, tags, affiches et autocollants;Graffitis sur mur, façade sur rue, pont;29 Rue de Reuilly, 75012 PARIS;75012;Paris 12;12;NATION - PICPUS;2021-01-06;2021;1;IOPage DMR Paris.fr application;graffitis;A2021A008331;"{""coordinates"": [2.386497993612788, 48.847874000089], ""type"": ""Point""}";48.847874000089,2.386497993612788
9137;Objets abandonnés;Autres objets encombrants abandonnés;211 Rue la Fayette, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2021-01-07;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A009137;"{""coordinates"": [2.364102096531217, 48.881274995438], ""type"": ""Point""}";48.881274995438,2.364102096531217
9147;Autos, motos, vélos...;Deux-roues motorisé en stationnement gênant;12 Rue Louis Blanc, 75010 PARIS;75010;Paris 10;10;GRANGE AUX BELLES - TERRAGE;2021-01-07;2021;1;IOPage DMR Paris.fr application;DPMP-SCOP;A2021A009147;"{""coordinates"": [2.368592700367356, 48.879233999299984], ""type"": ""Point""}";48.879233999299984,2.368592700367356
9158;Objets abandonnés;Autres objets encombrants abandonnés;1 Rue de Périgueux, 75019 PARIS;75019;Paris 19;19;DANUBE;2021-01-07;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A009158;"{""coordinates"": [2.3949050059623023, 48.884640000632956], ""type"": ""Point""}";48.884640000632956,2.3949050059623023
9991;Autos, motos, vélos...;Automobile ou autre véhicule motorisé en stationnement gênant;112 Avenue du Général Leclerc, 75014 PARIS;75014;Paris 14;14;JEAN MOULIN - PORTE D'ORLEANS;2021-01-07;2021;1;IOPage DMR Paris.fr application;DPMP-SCOP;A2021A009991;"{""coordinates"": [2.325872402693654, 48.825665003219825], ""type"": ""Point""}";48.825665003219825,2.325872402693654
10960;Objets abandonnés;[] Gravats ou déchets de chantier rubalisés - enquête demandée;8 Rue de Ste Hélène, 75013 PARIS;75013;Paris 13;13;ITALIE - PEUPLIERS - RUNGIS;2021-01-08;2021;1;Androï;DPMP avec un découpage en circonscription;G2021A010960;"{""coordinates"": [2.352846903053827, 48.81904599711348], ""type"": ""Point""}";48.81904599711348,2.352846903053827
10979;Objets abandonnés;Autres objets encombrants abandonnés;77bis Avenue de Breteuil, 75015 PARIS;75015;Paris 15;15;CAMBRONNE - GARIBALDI;2021-01-08;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A010979;"{""coordinates"": [2.311789497054261, 48.84617200048952], ""type"": ""Point""}";48.84617200048952,2.311789497054261
10984;Objets abandonnés;Autres objets encombrants abandonnés;2 rue Dampierre, 75019 PARIS;75019;Paris 19;19;PONT DE FLANDRE;2021-01-08;2021;1;Page DMR Paris.fr;Ramen en tant que prestataire de DansMaRue;S2021A010984;"{""coordinates"": [2.383502003807826, 48.89372999964118], ""type"": ""Point""}";48.89372999964118,2.383502003807826
26386;Objets abandonnés;Autres objets encombrants abandonnés;45 Rue des Grands Champs, 75020 PARIS;75020;Paris 20;20;PLAINE LAGNY;2021-01-17;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A026386;"{""coordinates"": [2.403293602507498, 48.85116000202618], ""type"": ""Point""}";48.85116000202618,2.403293602507498
